title,lessonId,jlpt,turns
Chào hỏi lần đầu,1,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""はじめまして、""}, {""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は しまかわです。""}], ""vi"": ""Rất vui được gặp bạn, tôi là Shimakawa.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はじめまして、""}, {""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は むらかみです。""}], ""vi"": ""Rất vui được gặp bạn, tôi là Murakami.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""どうぞ、よろしく おねがいします。""}], ""vi"": ""Rất mong nhận được sự giúp đỡ của bạn.""}]"
Xác nhận tên,1,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""むらかみさんですか。""}], ""vi"": ""Bạn là Murakami-san có phải không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、そうです。""}], ""vi"": ""Vâng, đúng vậy.""}]"
Hỏi quê quán,1,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""出身"", ""reading"": ""しゅっしん""}, {""text"": ""は？""}], ""vi"": ""Quê quán của bạn ở đâu?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""こうべ です。""}], ""vi"": ""Tôi đến từ Kobe.""}]"
Hỏi tên đồ vật,2,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""これは ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""ですか。""}], ""vi"": ""Đây là cái gì?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""それは とけいです。""}], ""vi"": ""Đó là cái đồng hồ.""}]"
Hỏi đồ vật ở xa,2,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""それは ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""ですか।""}], ""vi"": ""Đó là cái gì?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""これは えんぴつです。""}], ""vi"": ""Đây là cái bút chì.""}]"
Chủ sở hữu cuốn sách,2,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""それは ""}, {""kanji"": ""誰"", ""reading"": ""だれ""}, {""text"": ""の""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": ""ですか。""}], ""vi"": ""Đó là cuốn sách của ai vậy?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""さとうさんの""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": ""です。""}], ""vi"": ""Là cuốn sách của bạn Sato.""}]"
Lựa chọn đồ vật,2,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""これは ボールペンですか。シャープペンシルですか。""}], ""vi"": ""Đây là bút bi hay là bút chì kim?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""それは ボールペンです。""}], ""vi"": ""Đó là bút bi.""}]"
Vị trí NihongoCoach ,3,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""すみません。ズンもりは どこですか。""}], ""vi"": ""Xin lỗi, NihongoCoach ở đâu ạ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ズンもりですか。""}], ""vi"": ""NihongoCoach ạ?""}, {""speaker"": ""A"", ""segments"": [{""text"": ""はい。""}], ""vi"": ""Vâng.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ズンもりは あそこです。""}], ""vi"": ""NihongoCoach ở đằng kia.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""あ、あそこですか。ありがとう ございます。""}], ""vi"": ""À, đằng kia ạ? Xin cảm ơn.""}]"
Vị trí rạp chiếu phim,3,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""すみません。""}], ""vi"": ""Xin lỗi.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい。""}], ""vi"": ""Vâng.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""えいがかんは どこですか。""}], ""vi"": ""Rạp chiếu phim ở đâu ạ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""えいがかんですか。えいがかんは あのビルのよんかいです。""}], ""vi"": ""Rạp chiếu phim ạ? Rạp chiếu phim ở tầng 4 của tòa nhà kia.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""よんかいですか。ありがとうございます。""}], ""vi"": ""Tầng 4 ạ? Xin cảm ơn.""}]"
Vị trí bãi đỗ xe,3,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""すみません、ちゅうしゃじょうは どちらですか。""}], ""vi"": ""Xin lỗi, bãi đỗ xe ở đâu ạ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""こちらのちか いっかいです。""}], ""vi"": ""Ở tầng hầm 1 của phía này ạ.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""ありがとうございます。""}], ""vi"": ""Xin cảm ơn.""}]"
