word,kanji,meaning,jlptLevel,lesson_number
わたし,私,tôi,N5,1
わたしたち,私たち,"chúng tôi, chúng ta",N5,1
かれ,彼,"anh ấy, bạn trai",N5,1
かのじょ,彼女,"cô ấy, bạn gái",N5,1
みなさん,皆さん,"các anh chị, các ông bà,các bạn, quý vị",N5,1
あなた,,"anh/chị, ông/bà, bạn",N5,1
あのひと,あの人,"người đó, anh kia, chị kia",N5,1
あのかた,あの方,vị kia,N5,1
きょうし,教師,giáo viên,N5,1
せんせい,先生,thầy/cô,N5,1
がくせい,学生,học sinh,N5,1
うんてんしゅ,運転手,tài xế,N5,1
かいしゃいん,会社員,nhân viên công ty,N5,1
しゃいん,社員,nhân viên công ty,N5,1
ぎんこういん,銀行員,nhân viên ngân hàng,N5,1
いしゃ,医者,bác sĩ,N5,1
エンジニア,,kỹ sư,N5,1
けんきゅうしゃ,研究者,nhà nghiên cứu,N5,1
りゅうがくせい,留学生,du học sinh,N5,1
だれ（どなた）,,ai,N5,1
だいがく,大学,"đại học, trường đại học",N5,1
びょういん,病院,bệnh viện,N5,1
にほん,日本,Nhật Bản,N5,1
ベトナム,,Việt Nam,N5,1
かんこく,韓国,Hàn Quốc,N5,1
ちゅうごく,中国,Trung Quốc,N5,1
アメリカ,,Mỹ,N5,1
イギリス,,Anh,N5,1
～じん,～人,người ~,N5,1
～ご,～語,tiếng ~,N5,1
しゅっしん,出身,"xuất thân, quê quán",N5,1
～からきました,～から来ました,(tôi) đến từ ~,N5,1
はい,,"vâng, dạ",N5,1
いいえ,,không,N5,1
しつれいですが,失礼ですが,"Xin lỗi,…",N5,1
おなまえをもういちどおねがいします,お名前をもう一度お願いします,Anh/ Chị vui lòng nhắc lại tên một lần nữa được không ạ?,N5,1
どうぞよろしくおねがいします,どうぞよろしくお願いします,Rất mong nhận được sự giúp đỡ của anh/chị!,N5,1
そうですか,,Vậy à/ Thế à?,N5,1
おしごとはなんですか,お仕事は何ですか,Công việc của anh/chị là gì thế?,N5,1
これ,,"cái này, đây",N5,2
それ,,"cái đó, đó",N5,2
あれ,,"cái kia, kia",N5,2
この～,,~ này,N5,2
その～,,~ đó,N5,2
あの～,,~ kia,N5,2
パソコン,,máy tính cá nhân,N5,2
けいたい,携帯,điện thoại di động,N5,2
でんわ,電話,điện thoại,N5,2
アイフォン,,iphone,N5,2
じゅうでんき,充電器,sạc pin,N5,2
ヘッドフォン,,tai nghe,N5,2
カメラ,,máy ảnh,N5,2
テレビ,,tivi,N5,2
くるま,車,"ô tô, xe hơi",N5,2
とけい,時計,đồng hồ,N5,2
ペン,,bút,N5,2
ボールペン,,bút bi,N5,2
えんぴつ,鉛筆,bút chì,N5,2
シャープペンシル,,bút chì kim,N5,2
けしゴム,消しゴム,tẩy,N5,2
ほん,本,sách,N5,2
ノート,,vở,N5,2
